"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"20","W5IRP UHF","444.97500","439.97500","A-Analog","Turbo","25K","107.2","Off","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"22","Worldwide BM","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","World-wide","Group Call","91","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"23","WW MARC","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","WWide MARC","Group Call","1","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"24","NA MARC","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","N America 3 MARC","Group Call","3","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"25","DMR Plus USA","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","DMRPlus USA","Group Call","133","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"26","TAC-310","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","TAC-310 USA DMRX","Group Call","310","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","On","Off","On","Digital","1","0","Off","0","1","0","255","255"
"27","TAC-311","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","TAC-311 USA DMRX","Group Call","311","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"28","TAC-312","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","TAC-312 USA DMRX","Group Call","312","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"29","TAC-313","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","TAC 313 USA","Group Call","313","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"30","TAC-314","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","TAC 314 USA","Group Call","314","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"31","BM USA","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","USA - Nationwide","Group Call","3100","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"32","Ark Statewide","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Arkansas","Group Call","3105","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"33","LA  Statewide","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Louisiana","Group Call","3122","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"34","OK  Statewide","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Oklahoma","Group Call","3140","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"35","TX  Statewide","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Texas","Group Call","3148","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
